Trial,Seperartion Distance (m),Minute,Hex Ch 0,Hex Ch 1,Coincidence,Ch 0 counts,Ch 1 counts,Coincidence counts,log seperation,log coinc counts
1,0.2,1,6A4,69D,18E,1700,1693,398,-0.698970004,2.599883072
1,0.2,2,611,6B8,16A,1553,1720,362,-0.698970004,2.558708571
1,0.2,3,627,6BA,174,1575,1722,372,-0.698970004,2.57054294
1,0.2,4,603,6DA,160,1539,1754,352,-0.698970004,2.546542663
1,0.2,5,661,6F8,1A3,1633,1784,419,-0.698970004,2.622214023
1,0.2,6,63C,6CB,17D,1596,1739,381,-0.698970004,2.580924976
1,0.2,7,6A5,6AB,187,1701,1707,391,-0.698970004,2.592176757
1,0.2,8,661,71F,199,1633,1823,409,-0.698970004,2.611723308
1,0.2,9,607,6B7,184,1543,1719,388,-0.698970004,2.588831726
1,0.2,10,654,6.00E+00,18C,1620,1760,396,-0.698970004,2.597695186
2,0.41,1,634,6C4,A7,1588,1732,167,-0.387216143,2.222716471
2,0.41,2,664,709,C6,1636,1801,198,-0.387216143,2.29666519
2,0.41,3,62D,6C0,BC,1581,1728,188,-0.387216143,2.274157849
2,0.41,4,65a,6c6,c3,1626,1734,195,-0.387216143,2.290034611
2,0.41,5,68c,6f7,c1,1676,1783,193,-0.387216143,2.285557309
2,0.41,6,661,69e,bc,1633,1694,188,-0.387216143,2.274157849
2,0.41,7,68a,6fa,a9,1674,1786,169,-0.387216143,2.227886705
2,0.41,8,64f,716,d4,1615,1814,212,-0.387216143,2.326335861
2,0.41,9,65b,690,ba,1627,1680,186,-0.387216143,2.269512944
2,0.41,10,613,6b9,b4,1555,1721,180,-0.387216143,2.255272505
3,0.61,1,612,726,61,1554,1830,97,-0.214670165,1.986771734
3,0.61,2,615,6A7,64,1557,1703,100,-0.214670165,2
3,0.61,3,645,722,6c,1605,1826,108,-0.214670165,2.033423755
3,0.61,4,61b,6fd,56,1563,1789,86,-0.214670165,1.934498451
3,0.61,5,62e,6cf,6f,1582,1743,111,-0.214670165,2.045322979
3,0.61,6,5dc,6df,5a,1500,1759,90,-0.214670165,1.954242509
3,0.61,7,62d,6c7,67,1581,1735,103,-0.214670165,2.012837225
