Gold,Silver,Bronze,Total,Rank by Total
39,41,33,113,1
38,32,18,88,2
27,14,17,58,5
22,21,22,65,4
20,28,23,71,3
17,7,22,46,6
10,12,14,36,9
10,12,11,33,10
10,11,16,37,8
10,10,20,40,7
7,6,11,24,11
7,6,8,21,12
7,6,7,20,13
7,3,5,15,18
6,7,7,20,13
6,4,10,20,13
4,5,5,14,19
4,4,3,11,23
4,4,2,10,25
4,2,2,8,29
4,1,4,9,26
3,8,6,17,17
3,6,0,9,26
3,4,6,13,20
3,4,4,11,23
3,3,2,8,29
3,2,2,7,33
3,1,5,9,26
3,1,3,7,33
3,1,2,6,39
3,1,1,5,42
3,0,2,5,42
2,5,1,8,29
2,4,6,12,22
2,2,9,13,20
2,1,1,4,47
2,1,1,4,47
2,1,0,3,60
2,0,2,4,47
2,0,2,4,47
2,0,1,3,60
2,0,0,2,66
2,0,0,2,66
1,6,12,19,16
1,3,3,7,33
1,3,0,4,47
1,3,0,4,47
1,2,4,7,33
1,2,3,6,39
1,2,1,4,47
1,2,1,4,47
1,2,0,3,60
1,1,5,7,33
1,1,4,6,39
1,1,3,5,42
1,1,2,4,47
1,1,2,4,47
1,1,0,2,66
1,0,1,2,66
1,0,1,2,66
1,0,1,2,66
1,0,1,2,66
1,0,0,1,77
1,0,0,1,77
1,0,0,1,77
0,4,1,5,42
0,3,4,7,33
0,3,2,5,42
0,2,2,4,47
0,2,1,3,60
0,1,3,4,47
0,1,2,3,60
0,1,2,3,60
0,1,1,2,66
0,1,1,2,66
0,1,1,2,66
0,1,0,1,77
0,1,0,1,77
0,1,0,1,77
0,1,0,1,77
0,1,0,1,77
0,1,0,1,77
0,0,8,8,29
0,0,4,4,47
0,0,2,2,66
0,0,1,1,77
0,0,1,1,77
0,0,1,1,77
0,0,1,1,77
0,0,1,1,77
0,0,1,1,77
0,0,1,1,77
0,0,1,1,77
